time,group1_current,group2_current,group3_current,group4_current,group5_current,group6_current,temp_fuel
0.0014192578827986,3.5251283125569e+23,1.3925158138125e+24,3.4719109908419e+24,2.4240258084731e+24,1.5786826745178e+24,4.376275195209e+23,979.37485667851
0.0017041094593583,6.8334003657833e+23,2.6993496612024e+24,6.7312226237461e+24,4.7010621387228e+24,3.0639991988986e+24,8.5173760742176e+23,990.71795952845
0.00204593135123,6.8839616002581e+23,2.7190758732039e+24,6.7817565278357e+24,4.7379138076874e+24,3.0912499411261e+24,8.6228162283372e+23,1004.4321446173
0.002456117621476,4.5618230213011e+23,1.8016209272666e+24,4.4941373856864e+24,3.1404373726783e+24,2.0505266891213e+24,5.7354526984518e+23,1015.3379243285
0.0029483411457712,2.3106503137575e+23,9.1248008112141e+23,2.2763277899299e+24,1.5908713407926e+24,1.0391747707099e+24,2.9114797691869e+23,1021.9664986527
0.0035390093749255,9.69156272172e+22,3.8270784773369e+23,9.5475568798327e+23,6.672982132004e+23,4.3597214463966e+23,1.2225010996166e+23,1025.3026628453
0.0042478112499105,3.5047434711073e+22,1.3839708292119e+23,3.4527165661491e+23,2.4132345445566e+23,1.5767835512615e+23,4.4229376721047e+22,1026.7503094444
0.0050983734998927,1.1308997683549e+22,4.4657889537681e+22,1.1141376576246e+23,7.7869463160955e+22,5.087679859724e+22,1.426933319915e+22,1027.310663459
0.0061190481998712,3.3753836601813e+21,1.3330125933385e+22,3.3259313353919e+22,2.3244441255281e+22,1.5184955446766e+22,4.2566772702469e+21,1027.5110811731
0.0073438578398454,1.0902266510758e+21,4.3065927627516e+21,1.0747739074305e+22,7.5100128477329e+21,4.9037261888181e+21,1.3720933201015e+21,1027.5883205171
0.0088136294078145,5.1724656239669e+20,2.0440463084497e+21,5.1032560515098e+21,3.5648445852554e+21,2.3259061343032e+21,6.4886893618819e+20,1027.6317188261
0.010577355289377,3.9249111606466e+20,1.5514182783765e+21,3.8742699171354e+21,2.7058591365483e+21,1.7646429106351e+21,4.914112987291e+20,1027.6706728909
0.012693826347253,3.6440830381168e+20,1.4405399527612e+21,3.597701792092e+21,2.5126071452813e+21,1.6384430912466e+21,4.5606898347776e+20,1027.7135191361
0.015233591616703,3.58227187358e+20,1.4161292893846e+21,3.5367994061905e+21,2.4700510252556e+21,1.6106545137455e+21,4.4829143061545e+20,1027.7634091618
0.018281309940044,3.5499220880815e+20,1.4033525846636e+21,3.5049234032727e+21,2.4477881000458e+21,1.5961336905578e+21,4.4424351031579e+20,1027.8218382827
