time,group1_current,group2_current,group3_current,group4_current,group5_current,group6_current,heat,temp_blanket,temp_fuel
0.42209677488086,2.4140335114283e+20,9.5430280920375e+20,2.3830984769877e+21,1.6642337942982e+21,1.0851828896028e+21,3.0216814619331e+20,583595043.73828,973.27973794204,1030.1804591275
0.50622316303003,2.5230845481195e+20,9.9727691560521e+20,2.4899743477654e+21,1.7389398590556e+21,1.1340172384331e+21,3.1588803435423e+20,610538121.38051,973.28683188478,1027.6515292517
0.60717482880902,2.9175127678771e+20,1.1529422078225e+21,2.8779436311738e+21,2.0100304860161e+21,1.3110092862707e+21,3.6538385290142e+20,706893194.68374,973.29575902188,1023.044590269
0.72831682774382,4.2240854750121e+20,1.6688448864992e+21,4.1644967461125e+21,2.9088799226143e+21,1.8976457324547e+21,5.292319953007e+20,1025089740.7444,973.30739185861,1015.8851723214
0.78888782721121,5.6435439143809e+20,2.2293907727386e+21,5.5625607009368e+21,3.885595067255e+21,2.5350522629014e+21,7.072077795416e+20,1370545583.9989,973.31405588049,1012.21212935
0.81917332694491,6.7151862352279e+20,2.652598083236e+21,6.6181160028281e+21,4.6230169264269e+21,3.0162891597045e+21,8.4156996383809e+20,1631320235.6298,973.31778188604,1010.4242565345
0.84945882667861,8.024122698448e+20,3.1695266227456e+21,7.9074457009487e+21,5.5237495911709e+21,3.6041041916433e+21,1.0056911313538e+21,1949826510.0303,973.32198217426,1008.7374351013
0.87974432641231,9.4406373615251e+20,3.7289503041997e+21,9.3027752802791e+21,6.4985262936656e+21,4.2402485112787e+21,1.1833137937391e+21,2294521005.7633,973.32663480423,1007.1826410332
0.91002982614601,1.0762327881074e+21,4.250936170914e+21,1.0604726282332e+22,7.4080577553969e+21,4.8338287065003e+21,1.3490658001668e+21,2616173452.5591,973.33156461904,1005.7559585257
0.94031532587971,1.1830725395239e+21,4.6728998021654e+21,1.1657191511327e+22,8.1432847518065e+21,5.3136743845783e+21,1.4830767871306e+21,2876235817.8051,973.33647436665,1004.425692386
0.97060082561341,1.261236661343e+21,4.9816231100579e+21,1.2427197462982e+22,8.6811708094132e+21,5.6647486829915e+21,1.5811450729872e+21,3066566481.0965,973.34103324662,1003.1538291407
1.0008863253471,1.3165672048082e+21,5.2001754746432e+21,1.2972281602476e+22,9.0619116374587e+21,5.9132786436703e+21,1.6505890728959e+21,3201375759.3151,973.34494241515,1001.9117405972
1.0311718250808,1.3570078199499e+21,5.3599270669349e+21,1.3370686544204e+22,9.3401679459751e+21,6.0949325859491e+21,1.7013643811069e+21,3299987654.4335,973.34795088675,1000.6835137449
1.0463145749477,1.3741098975026e+21,5.4274892785716e+21,1.3539168787899e+22,9.4578293574275e+21,6.1717519747666e+21,1.7228410106097e+21,3341716432.9754,973.34919984401,1000.0713178146
1.0614573248145,1.3892781059981e+21,5.4874146338256e+21,1.3688598508168e+22,9.5621770195005e+21,6.2398834396119e+21,1.7418922013728e+21,3378746882.2073,973.35016752397,999.46044091236
1.0766000746814,1.4031679339663e+21,5.542291844655e+21,1.3825432342002e+22,9.6577216079232e+21,6.3022705517931e+21,1.7593398028878e+21,3412673700.6104,973.35082987785,998.85076071656
1.0917428245482,1.4161919983409e+21,5.593750533478e+21,1.3953734755982e+22,9.747302602526e+21,6.3607662573245e+21,1.7757010913953e+21,3444500804.2987,973.35116401484,998.24241541598
1.106885574415,1.4286297386005e+21,5.6428943547002e+21,1.407625839802e+22,9.8328430184287e+21,6.4166254480697e+21,1.7913263635242e+21,3474908067.033,973.35114780984,997.63568738822
1.1220283242819,1.4406768456939e+21,5.6904961789894e+21,1.419493094756e+22,9.9156895297729e+21,6.4707269358833e+21,1.8064609382981e+21,3504371546.4669,973.35075969694,997.03093278213
1.1371710741487,1.4524705374153e+21,5.7370979369047e+21,1.4311104139784e+22,9.9967864720053e+21,6.5236869853302e+21,1.8212768701675e+21,3533224999.7313,973.34997856291,996.42853536486
1.1523138240156,1.4641032662846e+21,5.7830647950967e+21,1.4425688841886e+22,1.0076770239453e+22,6.5759208807157e+21,1.8358901232533e+21,3561693263.3203,973.34878369862,995.82887403538
1.1674565738824,1.4756293235015e+21,5.8286112683748e+21,1.4539220123291e+22,1.0156014744411e+22,6.6276725756412e+21,1.8503688048607e+21,3589908342.3326,973.34715478163,995.23229731583
1.1825993237493,1.4870720416336e+21,5.8738296658346e+21,1.4651928195933e+22,1.0234680956459e+22,6.6790470389976e+21,1.8647421763826e+21,3617926941.613,973.34507189158,994.63910492452
1.1977420736161,1.4984431628479e+21,5.9187665132745e+21,1.4763929108555e+22,1.0312850084061e+22,6.7300972080446e+21,1.8790249691514e+21,3645777550.9859,973.34251560104,994.04954674644
1.212884823483,1.5097518021537e+21,5.9634579279384e+21,1.4875313013206e+22,1.0390585221309e+22,6.7808642397294e+21,1.893228636737e+21,3673482241.5007,973.33946710423,993.46382966104
1.2280275733498,1.5210059695629e+21,6.0079356339721e+21,1.4986159170992e+22,1.0467941832571e+22,6.83138435422e+21,1.9073632627022e+21,3701060373.2649,973.33590835576,992.88212535008
1.2431703232167,1.5322196541087e+21,6.0522549231891e+21,1.509660568481e+22,1.0545016482979e+22,6.8817206140131e+21,1.9214464575065e+21,3728545813.7512,973.33182223818,992.30458372849
1.2583130730835,1.5434128539484e+21,6.0964947819827e+21,1.5206849784389e+22,1.0621947051097e+22,6.9319630364649e+21,1.935503388936e+21,3755987008.85,973.32719273139,991.73134559025
1.2734558229504,1.554596853432e+21,6.1406998061713e+21,1.5317002888399e+22,1.0698811493985e+22,6.982162510114e+21,1.9495482949581e+21,3783411198.5015,973.32200502996,991.16254134739
1.2885985728172,1.5657657220624e+21,6.1848466636911e+21,1.5427006927347e+22,1.0775569402689e+22,7.032292649448e+21,1.9635738150785e+21,3810803761.4074,973.31624562946,990.59828129317
1.3037413226841,1.5768995765781e+21,6.2288569652109e+21,1.5536666458376e+22,1.0852084428123e+22,7.0822644435028e+21,1.9775550815387e+21,3838116152.0858,973.30990242237,990.03864775716
1.3188840725509,1.5879770202592e+21,6.2726463426601e+21,1.5645771142951e+22,1.0928209796849e+22,7.1319821009783e+21,1.9914653129585e+21,3865296149.6923,973.30296483497,989.48369728582
1.3340268224178,1.5989872419066e+21,6.3161721840305e+21,1.5754214847444e+22,1.1003871497611e+22,7.1813973546247e+21,2.0052910135317e+21,3892317270.7302,973.29542400211,988.93347262144
